姓名,出生年,單位,量級,體重,蹲舉,S.Rk,臥舉,B.Rk,硬舉,D.Rk,總和,T.Rk,賽制,賽事,組別,日期,地點
何宗懃,-,高雄市B,93kg,-,185.0,5,140.0,4,212.5,5,537.5,4,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
林詳恩,-,個人,93kg,-,205.0,4,102.5,5,215.0,4,522.5,5,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
林鴻麟,-,個人,105kg,-,330.0,2,192.5,2,346.0,1,868.5,1,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
馬志鈞,-,高雄市,105kg,-,265.0,3,200.0,1,245.0,2,710.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
張家瑋,-,個人,105kg,-,230.0,4,150.0,3,235.0,3,615.0,3,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
林孝勳,-,個人,105kg,-,200.0,5,125.0,4,200.0,4,525.0,4,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
謝誌紘,-,ASPOWERLIFTING,105kg,-,375.0,1,0.0,-,0.0,-,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
張家榮,-,高雄市,120kg,-,305.0,1,135.0,1,250.0,1,690.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
巫翊俅,-,新北市體育總會健力委員會,120+kg,-,410.0,1,250.0,1,352.5,1,1012.5,1,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
李穎燁,-,新北市體育總會健力委員會,120+kg,-,305.0,2,170.0,2,330.0,2,805.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
陳書廷,-,個人,120+kg,-,192.5,3,132.5,3,202.5,3,527.5,3,裝備,中華民國113年全國青年盃健力錦標賽,公開男子組,2024-3,高雄市苓雅運動中心2樓西館
劉美香,-,高雄市,47kg,-,90.0,1,40.0,1,100.0,1,230.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
吳怡賢,-,高雄市,47kg,-,25.0,2,25.0,2,55.0,2,105.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
曾姿穎,-,高雄市,52kg,-,157.5,1,95.0,1,147.5,2,400.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
李佳諭,-,雲林縣體育會健力委員會,52kg,-,120.0,2,80.0,2,147.5,1,347.5,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
許毓庭,-,個人,52kg,-,0.0,-,70.0,3,135.0,3,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
張琇婷,-,新北市體育總會健力委員會,57kg,-,162.5,1,80.0,1,170.0,1,412.5,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
陳珊平,-,高雄市,57kg,-,160.0,2,65.0,2,150.0,2,375.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
洪秀靜,-,彰化縣體育會健力委員會,63kg,-,190.0,1,112.5,1,210.0,1,512.5,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
李燕青,-,個人,63kg,-,145.0,3,80.0,2,157.5,2,382.5,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
丁僅玲,-,個人,63kg,-,125.0,4,55.0,4,130.0,4,310.0,3,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
賴思穎,-,雲林縣體育會健力委員會,63kg,-,105.0,5,75.0,3,120.0,5,300.0,4,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
劉子瑜,-,ASPOWERLIFTING,63kg,-,172.5,2,0.0,-,132.5,3,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
林湘筑,-,高雄市,69kg,-,200.0,1,95.0,1,213.0,1,508.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
王妤方,-,雲林縣體育會健力委員會,69kg,-,140.0,2,70.0,2,140.0,2,350.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
黃嘉慈,-,新北市體育總會健力委員會,69kg,-,125.0,3,65.0,3,140.0,3,330.0,3,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
許小莉,-,高雄市,76kg,-,170.0,1,60.0,1,152.5,1,382.5,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
李侑庭,-,個人,76kg,-,120.0,2,45.0,3,140.0,2,305.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
劉沛瑩,-,雲林縣體育會健力委員會,76kg,-,95.0,3,50.0,2,110.0,3,255.0,3,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
張靖玫,-,雲林縣體育會健力委員會,84kg,-,115.0,2,90.0,1,140.0,1,345.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
朱翊慈,-,雲林縣體育會健力委員會,84kg,-,125.0,1,70.0,2,130.0,2,325.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
沈玓儞,-,雲林縣體育會健力委員會,84+kg,-,220.0,1,100.0,1,190.0,1,510.0,1,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
李欣穎,-,台鋼科技大學,84+kg,-,140.0,2,70.0,2,140.0,2,350.0,2,裝備,中華民國113年全國青年盃健力錦標賽,公開女子組,2024-3,高雄市苓雅運動中心2樓西館
林榮捷,-,臺南市,74kg,-,180.0,1,85.0,1,180.0,1,445.0,1,裝備,中華民國113年全國青年盃健力錦標賽,長青男子組1,2024-3,高雄市苓雅運動中心2樓西館
蔡志偉,-,新北市體育總會健力委員會,105kg,-,280.0,1,260.0,1,260.0,1,800.0,1,裝備,中華民國113年全國青年盃健力錦標賽,長青男子組1,2024-3,高雄市苓雅運動中心2樓西館
紀嘉琪,-,雲林縣體育會健力委員會,63kg,-,70.0,1,76.5,1,120.0,1,266.5,1,裝備,中華民國113年全國青年盃健力錦標賽,長青女子組1,2024-3,高雄市苓雅運動中心2樓西館
張靜芳,-,雲林縣體育會健力委員會,69kg,-,136.0,1,78.5,1,131.0,1,345.5,1,裝備,中華民國113年全國青年盃健力錦標賽,長青女子組1,2024-3,高雄市苓雅運動中心2樓西館
陳怡君,-,新北市體育總會健力委員會,69kg,-,90.0,2,55.0,2,110.0,2,255.0,2,裝備,中華民國113年全國青年盃健力錦標賽,長青女子組1,2024-3,高雄市苓雅運動中心2樓西館
尤宜真,-,個人,69kg,-,162.5,1,75.0,1,162.5,1,400.0,1,裝備,中華民國113年全國青年盃健力錦標賽,長青女子組2,2024-3,高雄市苓雅運動中心2樓西館
曾仲元,-,個人,66kg,-,125.0,1,93.0,1,150.5,1,368.5,1,裝備,中華民國113年全國青年盃健力錦標賽,長青男子組4,2024-3,高雄市苓雅運動中心2樓西館
黃見利,-,ASPOWERLIFTING,83kg,-,170.5,1,150.5,1,146.0,1,467.0,1,裝備,中華民國113年全國青年盃健力錦標賽,長青男子組4,2024-3,高雄市苓雅運動中心2樓西館
江啓一,-,新北市體育總會健力委員會,83kg,-,90.0,2,65.0,2,140.0,2,295.0,2,裝備,中華民國113年全國青年盃健力錦標賽,長青男子組4,2024-3,高雄市苓雅運動中心2樓西館
古愷恩,-,臺東縣立卑南國中,53kg,-,130.0,2,65.0,1,147.5,2,342.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
陽承希,-,臺東縣立新生國中,53kg,-,132.5,1,57.5,2,150.0,1,340.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
李正暐,-,臺中市立神圳國中,53kg,-,102.5,3,52.5,4,140.0,3,295.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
羅盛捷,-,臺中市立大里高中,53kg,-,100.0,5,52.5,3,110.0,5,262.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
張秉弘,-,彰化縣立埤頭國中,53kg,-,90.0,8,40.0,8,120.0,4,250.0,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許博皓,-,彰化縣立埤頭國中,53kg,-,100.0,4,45.0,5,100.0,7,245.0,6,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
林稚閎,-,臺中市立成功國中,53kg,-,92.5,7,45.0,6,102.5,6,240.0,7,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
歐哲瑑,-,臺中市立立新國中,53kg,-,95.0,6,35.0,10,100.0,8,230.0,8,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
鄭子昱,-,臺中市立立新國中,53kg,-,80.0,10,35.0,9,85.0,10,200.0,9,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
潘昊宇,-,花蓮縣立三民國中,53kg,-,90.0,9,32.5,13,77.5,12,200.0,10,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
陳琚,-,苗栗縣立苗栗國中,53kg,-,50.0,16,45.0,7,80.0,11,175.0,11,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
鄧丞峰,-,臺中市立大里高中,53kg,-,65.0,11,32.5,12,75.0,13,172.5,12,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
楊科豐,-,臺中市立中平國中,53kg,-,52.5,13,27.5,14,87.5,9,167.5,13,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
吳秉澄,-,臺中市立成功國中,53kg,-,50.0,14,32.5,11,67.5,15,150.0,14,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
賴睿楷,-,個人,53kg,-,55.0,12,22.5,15,70.0,14,147.5,15,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
楊文傑,-,個人,53kg,-,50.0,15,20.0,16,50.0,16,120.0,16,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
蔡承恩,-,彰化縣立埤頭國中,59kg,-,117.5,3,50.0,3,147.5,1,315.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
賴冠霖,-,臺中市立成功國中,59kg,-,125.0,2,50.0,5,132.5,2,307.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
田君德,-,花蓮縣立三民國中,59kg,-,117.5,4,60.0,2,125.0,4,302.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
王荃正,-,臺東縣立新生國中,59kg,-,110.0,6,60.0,1,130.0,3,300.0,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
張智惟,-,臺中市立中平國中,59kg,-,127.5,1,45.0,7,120.0,5,292.5,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
劉宥圻,-,臺中市立成功國中,59kg,-,112.5,5,45.0,6,110.0,6,267.5,6,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
王泓琪,-,高雄市立鼓山高中,59kg,-,100.0,7,50.0,4,100.0,7,250.0,7,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許天宥,-,臺中市立中平國中,59kg,-,50.0,9,30.0,8,90.0,8,170.0,8,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
陳品誠,-,臺中市立成功國中,59kg,-,80.0,8,0.0,-,80.0,9,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
楊承諺,-,彰化縣立埤頭國中,66kg,-,115.0,2,50.0,2,125.0,2,290.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許鈞盛,-,臺中市立大里高中,66kg,-,107.5,3,40.0,5,127.5,1,275.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
鄭博翔,-,高雄市立鼓山高中,66kg,-,100.0,4,40.0,6,105.0,5,245.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
吳伯祥,-,高雄市立桃源國中,66kg,-,85.0,5,50.0,3,110.0,3,245.0,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
蔡和宇,-,臺中市立中平國中,66kg,-,127.5,1,60.0,1,50.0,6,237.5,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
池冠佑,-,高雄市立桃源國中,66kg,-,80.0,6,40.0,4,105.0,4,225.0,6,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
方瑞浩,-,花蓮縣立三民國中,74kg,-,167.5,2,82.5,2,190.0,1,440.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
顏誠諾,-,高雄市立桃源國中,74kg,-,140.0,4,65.0,3,162.5,2,367.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
張翃銨,-,臺中市立中平國中,74kg,-,175.0,1,50.0,6,140.0,3,365.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
謝聿程,-,彰化縣立埤頭國中,74kg,-,125.0,5,55.0,5,135.0,4,315.0,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
羅浩汎,-,臺東縣立新生國中,74kg,-,95.0,6,60.0,4,130.0,5,285.0,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
吳董忠鎮,-,臺中市立成功國中,74kg,-,92.5,7,40.0,7,90.0,6,222.5,6,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許勝堯,-,臺東縣立新生國中,74kg,-,160.0,3,95.0,1,0.0,-,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
鄭宥滕,-,花蓮縣立三民國中,83kg,-,200.0,1,85.0,1,222.0,1,507.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
王翊宸,-,臺東縣立新生國中,83kg,-,155.0,2,80.0,2,170.0,3,405.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
彭晟祐,-,臺東縣立新生國中,83kg,-,150.0,3,65.0,4,180.0,2,395.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
簡嘉成,-,個人,83kg,-,115.0,8,77.5,3,155.0,4,347.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許庭嘉,-,彰化縣立埤頭國中,83kg,-,122.5,5,50.0,7,135.0,5,307.5,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
陳紹恩,-,臺中市立大里高中,83kg,-,127.5,4,55.0,5,120.0,6,302.5,6,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
王翊丞,-,臺中市立中平國中,83kg,-,120.0,6,40.0,8,117.5,7,277.5,7,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
彭楷磔,-,臺中市立成功國中,83kg,-,115.0,7,50.0,6,110.0,8,275.0,8,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
夏春祥,-,臺東縣立卑南國中,83kg,-,55.0,9,25.0,9,60.0,9,140.0,9,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
顏邵權,-,臺東縣立卑南國中,93kg,-,200.0,1,111.5,1,190.0,2,501.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
史浩均,-,臺中市立中平國中,93kg,-,180.0,2,65.0,4,190.0,1,435.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
洪嘉星,-,高雄市立桃源國中,93kg,-,142.5,4,80.0,2,150.0,4,372.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
劉祐誠,-,臺中市立大里高中,93kg,-,155.0,3,70.0,3,137.5,5,362.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
陳彥凱,-,苗栗縣立苗栗國中,93kg,-,120.0,5,65.0,5,150.0,3,335.0,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
馮佳樂,-,花蓮縣立三民國中,105kg,-,220.0,2,145.0,1,248.0,1,613.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
金恩紹,-,花蓮縣立三民國中,105kg,-,220.0,1,107.5,2,185.0,2,512.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
許立勳,-,彰化縣立埤頭國中,105kg,-,155.0,3,77.5,3,165.0,4,397.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
王耀寬,-,臺中市立神圳國中,105kg,-,150.0,4,75.0,4,170.0,3,395.0,4,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
黃貿晨,-,臺東縣立卑南國中,105kg,-,140.0,5,70.0,5,150.0,5,360.0,5,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
林品叡,-,臺中市立成功國中,105kg,-,0.0,-,50.0,6,120.0,6,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
那聖恩,-,花蓮縣立三民國中,120kg,-,210.0,1,130.5,1,160.0,2,500.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
黃冠銘,-,臺中市立成功國中,120kg,-,100.0,2,40.0,2,160.0,1,300.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中男子組,2024-3,高雄市苓雅運動中心2樓西館
張憶慈,-,臺東縣立卑南國中,43kg,-,85.0,3,53.0,1,95.0,2,233.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
林莉珍,-,花蓮縣立三民國中,43kg,-,97.5,1,45.0,2,90.0,3,232.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
賴宇渲,-,臺中市立神圳國中,43kg,-,62.5,4,22.5,3,75.0,4,160.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
施湘霓,-,臺中市立神圳國中,43kg,-,92.5,2,0.0,-,100.0,1,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
蘇紹瑄,-,花蓮縣立三民國中,47kg,-,87.5,2,37.5,2,92.5,3,217.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
簡莉蓉,-,臺中市立成功國中,47kg,-,80.0,4,32.5,4,95.0,1,207.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳佳蓁,-,彰化縣立埤頭國中,47kg,-,90.0,1,40.0,1,75.0,5,205.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
周品妤,-,臺中市立立新國中,47kg,-,80.0,3,20.0,5,92.5,2,192.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
金慈恩,-,臺中市立神圳國中,47kg,-,72.5,5,32.5,3,85.0,4,190.0,5,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳翊茹,-,彰化縣立埤頭國中,52kg,-,87.5,1,30.0,2,90.0,2,207.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
莎韻吉弘,-,臺中市立神圳國中,52kg,-,40.0,2,30.0,1,102.5,1,172.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳雪恩,-,臺東縣立卑南國中,57kg,-,145.0,2,82.5,1,145.5,1,373.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
邵語歆,-,屏東縣立獅子國中,57kg,-,150.0,1,72.5,2,145.0,2,367.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
林秀鈺,-,臺東縣立卑南國中,57kg,-,117.5,3,47.5,3,102.5,4,267.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
黃千雅,-,臺中市立成功國中,57kg,-,102.5,4,40.0,4,105.0,3,247.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
林芷伊,-,臺中市立成功國中,57kg,-,70.0,5,32.5,6,80.0,5,182.5,5,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
謝翊君,-,高雄市立桃源國中,57kg,-,52.5,6,35.0,5,75.0,6,162.5,6,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
林莉綺,-,花蓮縣立三民國中,63kg,-,117.5,2,60.0,1,110.0,1,287.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
王彤,-,臺東縣立卑南國中,63kg,-,122.5,1,52.5,2,110.0,2,285.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
周采凌,-,彰化縣立埤頭國中,63kg,-,112.5,3,50.0,3,107.5,3,270.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
黃宜婷,-,高雄市立鼓山高中,63kg,-,80.0,5,35.0,4,95.0,5,210.0,4,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳懷玉,-,臺中市立立新國中,63kg,-,105.0,4,0.0,-,100.0,4,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
吳妤萱,-,高雄市立桃源國中,69kg,-,112.5,1,50.0,1,110.0,1,272.5,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
戴美琪,-,臺東縣立卑南國中,69kg,-,90.0,3,50.0,2,100.0,4,240.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
黃宜萱,-,高雄市立鼓山高中,69kg,-,90.0,4,25.0,4,97.5,5,212.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
江翌蓉,-,臺中市立神圳國中,69kg,-,70.0,5,25.0,3,102.5,3,197.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳靜儀,-,臺中市立中平國中,69kg,-,100.0,2,0.0,-,107.5,2,0.0,-,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
張瑋庭,-,臺中市立神圳國中,76kg,-,107.5,2,40.0,3,135.5,1,283.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
謝蕙柔,-,高雄市立桃源國中,76kg,-,110.0,1,45.0,1,110.0,2,265.0,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
金丞琳,-,臺中市立中平國中,76kg,-,100.0,3,42.5,2,70.0,3,212.5,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
陳琪,-,臺東縣立卑南國中,84kg,-,125.0,1,60.0,1,120.0,1,305.0,1,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
巫苡伶,-,臺中市立成功國中,84kg,-,112.5,3,55.0,2,110.0,2,277.5,2,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
謝佳欣,-,高雄市立桃源國中,84kg,-,115.0,2,50.0,4,100.0,3,265.0,3,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
林鈺美,-,臺東縣立卑南國中,84kg,-,100.0,4,52.5,3,85.0,4,237.5,4,裝備,中華民國113年全國青年盃健力錦標賽,國中女子組,2024-3,高雄市苓雅運動中心2樓西館
